AP	DC	SC	HC	RMS	PKLV	RSSI	SNR	LOC
16	12	4	4	-15.7	-39.59	-85	23	h
65	51	0	48	-3.97	-34.7	-75	7	p
91	244	0	70	-13.2	-41.58	-80	9	g
61	121	0	46	-11.02	-42.08	-82	5	g
16	17	1	2	-15.7	-44.3	-83	12	h
65	85	0	39	0.0	-21.0	-76	11	p
72	62	0	44	-8.7	-33.31	-75	7	p
15	12	0	2	-4.53	-33.05	-83	21	h
5	1	0	1	-26.58	-47.83	-82	5	r
3	7	0	1	-11.77	-40.64	-79	3	r
87	152	0	45	-17.04	-39.98	-80	8	g
67	67	0	53	-11.26	-34.82	-75	11	p
4	2	0	0	-6.3	-34.36	-81	3	r
4	4	0	2	-15.7	-46.21	-82	3	r
59	95	0	43	-11.02	-38.34	-81	8	g
5	2	0	0	-15.7	-44.65	-82	2	r
22	7	0	3	-7.34	-39.53	-87	14	h
20	12	0	2	-32.6	-48.1	-85	16	h
4	4	0	0	-20.56	-48.08	-82	4	r
82	148	0	38	-26.58	-46.54	-79	8	g
81	195	0	102	0.0	-26.47	-80	9	g
78	211	0	102	-8.34	-42.26	-82	8	g
13	13	0	4	-10.1	-41.28	-82	19	h
65	142	0	58	-5.37	-36.21	-81	7	g
70	69	0	53	-9.68	-33.68	-75	10	p
5	3	0	0	-13.52	-42.38	-83	3	r
78	191	0	42	-18.62	-44.02	-79	9	g
15	11	0	1	-42.14	-48.17	-83	14	h
23	11	1	3	-10.55	-42.6	-86	8	h
4	2	0	1	-12.6	-47.73	-82	4	r
3	17	4	2	-10.78	-41.28	-77	19	h
3	6	0	1	-30.1	-48.07	-79	1	r
73	119	0	52	-3.66	-24.83	-78	9	p
67	150	0	95	-8.7	-30.58	-76	10	p
15	9	3	2	-9.68	-38.29	-84	16	h
66	54	0	36	-12.9	-37.7	-76	6	p
94	239	0	43	0.0	-38.03	-81	7	g
89	254	0	83	0.0	-32.09	-80	9	g
4	6	0	0	-21.32	-47.82	-80	2	r
16	9	0	1	-42.14	-48.16	-84	15	h
4	2	0	3	-8.52	-41.06	-82	2	r
66	52	0	37	-8.16	-35.66	-77	6	p
85	97	0	47	-14.91	-42.56	-80	7	g
83	185	0	40	-3.87	-40.76	-80	9	g
84	165	0	34	0.0	-38.66	-80	7	g
84	194	0	91	-11.51	-43.73	-80	10	g
16	16	2	3	-11.51	-34.71	-83	19	h
19	11	0	2	-21.32	-44.72	-85	18	h
4	5	0	0	-14.54	-47.13	-77	3	r
84	153	0	48	-6.3	-38.55	-79	11	g
4	3	0	0	-1.64	-41.05	-81	35	r
93	163	0	42	-0.07	-34.23	-79	8	g
5	3	0	0	-21.32	-47.93	-83	1	r
3	4	0	1	-25.24	-47.6	-78	1	r
67	75	0	83	-6.88	-28.83	-77	11	p
4	1	0	0	-21.32	-47.92	-81	6	r
61	57	0	37	-11.02	-34.62	-77	5	p
4	2	0	0	-16.57	-48.0	-82	5	r
5	7	0	0	-15.7	-47.11	-82	3	r
3	5	0	1	0.0	-24.09	-78	7	r
47	118	0	41	-3.06	-39.45	-81	7	g
72	55	0	50	0.0	-34.0	-75	10	p
4	5	0	0	-10.78	-45.19	-82	16	r
15	4	1	3	0.0	-35.4	-83	19	h
4	1	0	1	-9.47	-46.09	-81	3	r
5	5	0	4	-15.7	-44.65	-83	3	r
12	8	0	0	-42.14	-48.17	-82	15	h
3	7	0	0	-18.62	-45.11	-78	1	r
15	8	0	0	-42.14	-48.15	-84	10	h
64	74	0	40	-4.19	-28.94	-77	8	p
21	18	1	3	-8.52	-40.03	-85	17	h
72	88	0	40	-8.16	-32.39	-78	7	p
4	5	0	1	-23.06	-47.47	-80	4	r
65	48	0	39	-8.34	-35.83	-77	4	p
90	136	0	39	0.0	-28.91	-80	8	g
89	133	0	38	-24.08	-46.76	-81	8	g
64	68	0	34	-14.91	-36.41	-77	6	p
9	5	0	3	-15.7	-41.21	-79	26	h
55	130	0	45	-4.41	-36.51	-82	7	g
67	95	0	47	-11.26	-36.48	-75	8	p
9	9	6	1	-17.54	-41.49	-81	14	h
7	10	3	4	0.0	-36.12	-77	30	h
51	154	0	73	-13.84	-41.13	-81	7	g
58	124	0	47	-19.87	-42.99	-82	6	g
4	4	0	0	-5.37	-36.74	-79	3	r
3	6	0	0	-32.6	-48.1	-75	3	r
3	3	0	0	-18.62	-46.86	-79	2	r
89	162	0	36	-20.56	-46.87	-81	10	g
15	7	2	3	-12.6	-39.27	-84	23	h
3	3	0	0	-30.1	-48.16	-79	4	r
83	187	0	45	-14.19	-41.31	-79	9	g
3	7	0	0	-8.34	-37.38	-79	3	r
70	82	0	29	-6.02	-31.86	-77	6	p
72	152	0	42	-1.01	-37.39	-80	8	g
78	214	1	107	-11.02	-33.51	-80	9	g
13	14	2	1	-26.58	-45.93	-84	22	h
11	12	2	1	-24.08	-44.04	-81	10	h
64	84	0	39	-6.16	-30.17	-79	6	p
14	11	2	2	-18.06	-42.03	-84	22	h
3	6	0	0	-24.08	-47.77	-80	1	r
64	42	0	35	-17.04	-38.92	-77	6	p
66	77	0	49	-7.66	-34.78	-75	6	p
16	8	0	2	-42.14	-48.16	-84	17	h
65	63	0	29	-5.89	-25.82	-76	7	p
3	3	0	1	-19.87	-48.04	-80	3	r
64	78	0	36	-1.56	-35.67	-77	11	p
82	185	0	53	0.0	-34.1	-79	8	g
73	74	0	36	-0.07	-35.69	-76	8	p
7	19	2	2	-17.54	-41.72	-83	19	h
15	10	2	2	-12.6	-39.57	-84	21	h
67	138	0	93	0.0	-24.28	-77	7	p
3	4	0	0	-19.87	-47.79	-81	4	r
97	162	0	37	0.0	-33.39	-80	8	g
3	7	0	1	-24.08	-48.03	-79	4	r
21	12	0	2	-18.62	-45.03	-85	13	h
92	159	0	38	-0.42	-44.39	-80	8	g
102	167	0	48	-8.7	-39.6	-80	7	g
9	13	0	1	-11.02	-45.13	-79	25	h
14	13	0	2	-10.78	-42.16	-82	14	h
14	10	0	2	-22.14	-46.06	-84	30	h
68	122	0	94	-6.3	-28.66	-77	7	p
4	2	0	0	-18.62	-45.72	-81	8	r
9	13	0	3	-14.19	-43.61	-78	13	h
4	1	0	0	-25.24	-48.09	-82	7	r
21	15	0	2	-14.54	-42.21	-85	14	h
4	6	0	0	-16.12	-46.08	-81	4	r
17	12	1	2	-25.24	-47.11	-86	14	h
22	9	0	4	-4.3	-40.35	-86	19	h
81	110	0	49	0.0	-35.23	-81	8	g
102	178	0	45	0.0	-31.95	-81	8	g
3	2	0	1	-8.34	-40.59	-79	3	r
67	75	0	55	-8.89	-35.21	-76	12	p
68	48	0	28	-10.78	-35.89	-77	5	p
71	89	0	38	-0.63	-25.94	-77	13	p
56	132	0	46	-4.88	-36.49	-81	8	g
66	111	1	80	0.0	-22.36	-77	9	p
56	164	0	66	-8.7	-39.88	-81	9	g
55	129	0	46	-1.89	-38.46	-82	8	g
3	2	0	0	-7.18	-41.42	-78	3	r
85	149	0	34	0.0	-23.29	-79	7	g
14	8	0	2	-28.16	-47.96	-83	14	h
66	101	0	39	-2.5	-28.2	-77	11	p
10	13	4	2	-11.26	-35.88	-80	17	h
3	2	0	0	-17.04	-45.94	-79	3	r
61	131	0	45	-11.51	-44.63	-82	7	g
4	7	0	0	-22.14	-47.36	-80	5	r
14	3	0	1	-25.24	-46.7	-83	8	h
65	53	0	37	-15.3	-36.65	-75	9	p
72	96	0	50	-12.32	-35.76	-75	7	p
69	58	0	36	-12.9	-37.97	-76	7	p
71	55	0	36	-8.89	-33.39	-76	10	p
84	198	0	51	-7.82	-37.85	-79	9	g
21	13	0	2	-26.58	-46.55	-85	21	h
103	163	0	58	-8.34	-39.32	-80	7	g
13	14	3	2	-15.3	-36.33	-82	20	h
61	90	0	31	0.0	-33.67	-77	4	p
5	34	0	2	-23.06	-46.09	-83	20	h
4	7	0	1	-10.1	-39.78	-80	4	r
5	5	0	0	-9.47	-46.72	-83	4	r
12	7	1	3	0.0	-36.22	-81	25	h
64	53	0	40	-10.78	-36.83	-76	7	p
16	9	3	3	-14.54	-39.73	-83	23	h
4	3	0	0	-6.88	-40.21	-81	4	r
4	7	0	1	-22.14	-47.53	-79	20	r
3	7	0	1	-17.54	-48.05	-79	6	r
16	7	0	1	-42.14	-48.16	-83	18	h
67	137	0	85	-3.87	-26.41	-77	9	p
7	9	3	2	-19.87	-40.2	-76	25	h
53	127	1	49	-8.7	-36.29	-82	5	g
4	1	0	0	-20.56	-47.65	-82	3	r
17	15	0	3	-17.54	-44.5	-84	13	h
69	63	0	55	-8.16	-33.54	-75	9	p
3	4	0	0	-12.6	-47.04	-75	4	r
89	207	0	88	-10.55	-42.19	-80	10	g
4	11	0	2	-4.76	-36.49	-80	34	r
81	193	0	44	-17.54	-42.0	-80	8	g
8	28	0	2	-23.06	-44.97	-83	19	h
10	8	2	2	-6.58	-38.23	-82	20	h
85	178	0	90	-12.9	-35.85	-81	10	g
15	6	2	3	-4.64	-33.26	-83	22	h
4	4	1	2	-2.14	-32.03	-83	4	r
4	1	0	0	-13.52	-41.62	-82	3	r
66	132	2	85	-0.35	-23.96	-77	8	p
63	74	0	35	-10.1	-34.81	-76	7	p
15	9	0	3	-25.24	-46.68	-85	14	h
8	19	2	2	-14.91	-43.14	-82	25	h
55	137	1	36	0.0	-31.92	-82	8	g
11	15	2	2	0.0	-35.65	-80	23	h
63	54	0	31	-12.9	-35.94	-78	8	p
8	8	2	1	-15.7	-40.22	-79	16	h
67	73	0	46	-11.02	-36.84	-75	7	p
3	5	0	1	-11.51	-41.1	-79	6	r
66	48	0	39	-6.3	-33.63	-76	8	p
16	9	0	0	-30.1	-48.08	-84	18	h
65	83	0	41	-6.3	-32.53	-78	15	p
91	188	0	41	0.0	-38.43	-79	9	g
93	166	0	45	-18.62	-42.12	-80	9	g
4	2	0	0	0.0	-30.29	-80	1	r
67	87	0	37	0.0	-25.51	-76	11	p
87	137	0	32	-10.1	-37.54	-79	8	g
77	198	0	82	-13.52	-42.5	-82	12	g
7	5	0	2	-16.12	-43.48	-76	28	h
69	81	0	51	-10.32	-33.57	-76	7	p
80	214	0	46	-7.18	-39.13	-79	9	g
